time|displacement|delay
2024-08-19 12:32:01.518765 | 15.232 |  0.00882
2024-08-19 12:32:01.643147 | 15.232 |  0.01386
2024-08-19 12:32:01.777654 | 15.232 |  0.01357
2024-08-19 12:32:01.906396 | 15.232 |  0.00910
2024-08-19 12:32:02.038245 | 15.232 |  0.00663
2024-08-19 12:32:02.166597 | 15.232 |  0.00765
2024-08-19 12:32:02.293601 | 15.232 |  0.01003
2024-08-19 12:32:02.429477 | 15.232 |  0.00861
2024-08-19 12:32:02.556492 | 15.232 |  0.01096
2024-08-19 12:32:02.687978 | 15.232 |  0.00884
2024-08-19 12:32:02.821098 | 15.232 |  0.00507
2024-08-19 12:32:02.953251 | 15.232 |  0.00229
2024-08-19 12:32:03.083625 | 15.232 |  0.00129
2024-08-19 12:32:03.212634 | 15.232 |  0.00165
2024-08-19 12:32:03.337986 | 15.232 |  0.00568
2024-08-19 12:32:03.471786 | 15.232 |  0.00631
2024-08-19 12:32:03.597720 | 15.232 |  0.00977
2024-08-19 12:32:03.728937 | 15.232 |  0.00804
2024-08-19 12:32:03.859095 | 15.232 |  0.00753
2024-08-19 12:32:03.991957 | 15.232 |  0.00387
2024-08-19 12:32:04.120844 | 15.232 |  0.00475
2024-08-19 12:32:04.251574 | 15.232 |  0.00275
2024-08-19 12:32:04.379797 | 15.232 |  0.00388
2024-08-19 12:32:04.510338 | 15.232 |  0.00275
2024-08-19 12:32:04.646685 | 15.232 |  0.00086
2024-08-19 12:32:04.768111 | 15.232 |  0.00884
2024-08-19 12:32:04.897686 | 15.232 |  0.00858
2024-08-19 12:32:05.031835 | 15.232 |  0.00380
2024-08-19 12:32:05.165975 | 15.232 | -0.00097
2024-08-19 12:32:05.297682 | 15.232 | -0.00333
2024-08-19 12:32:05.426962 | 15.232 | -0.00320
2024-08-19 12:32:05.551442 | 15.232 |  0.00169
2024-08-19 12:32:05.684412 | 15.232 |  0.00320
2024-08-19 12:32:05.809831 | 15.232 |  0.00732
2024-08-19 12:32:05.941230 | 15.232 |  0.00529
2024-08-19 12:32:06.071457 | 15.232 |  0.00430
2024-08-19 12:32:06.204319 | 15.232 |  0.00080
2024-08-19 12:32:06.333444 | 15.238 |  0.00435
2024-08-19 12:32:06.463607 | 15.228 |  0.00068
2024-08-19 12:32:06.596080 | 15.232 |  0.00008
2024-08-19 12:32:06.726609 | 15.250 | -0.00193
2024-08-19 12:32:06.862066 | 15.242 | -0.00458
2024-08-19 12:32:06.986193 | 15.238 |  0.00025
2024-08-19 12:32:07.113834 | 15.248 |  0.00531
2024-08-19 12:32:07.244083 | 15.258 |  0.00443
2024-08-19 12:32:07.375439 | 15.286 |  0.00118
2024-08-19 12:32:07.508187 | 15.308 | -0.00219
2024-08-19 12:32:07.639211 | 15.322 | -0.00259
2024-08-19 12:32:07.768331 | 15.322 | -0.00248
2024-08-19 12:32:07.902342 | 15.316 | -0.00463
2024-08-19 12:32:08.026199 | 15.316 |  0.00034
2024-08-19 12:32:08.152687 | 15.316 |  0.00637
2024-08-19 12:32:08.277951 | 15.322 |  0.01065
2024-08-19 12:32:08.411712 | 15.302 |  0.00211
2024-08-19 12:32:08.547703 | 15.304 | -0.00076
2024-08-19 12:32:08.679449 | 15.304 | -0.00604
2024-08-19 12:32:08.809229 | 15.316 | -0.00313
2024-08-19 12:32:08.936337 | 15.318 | -0.00125
2024-08-19 12:32:09.065815 | 15.340 |  0.00290
2024-08-19 12:32:09.190324 | 15.368 |  0.00777
2024-08-19 12:32:09.322086 | 15.396 |  0.00538
2024-08-19 12:32:09.456708 | 15.394 | -0.00192
2024-08-19 12:32:09.590218 | 15.398 | -0.00315
2024-08-19 12:32:09.719861 | 15.438 | -0.00426
2024-08-19 12:32:09.848735 | 15.438 | -0.00579
2024-08-19 12:32:09.976955 | 15.430 | -0.00414
2024-08-19 12:32:10.107448 | 15.472 |  0.00140
2024-08-19 12:32:10.227229 | 15.518 |  0.01102
2024-08-19 12:32:10.357567 | 15.538 |  0.01004
2024-08-19 12:32:10.493820 | 15.550 |  0.00439
2024-08-19 12:32:10.629792 | 15.582 | -0.00346
2024-08-19 12:32:10.763050 | 15.604 | -0.00734
2024-08-19 12:32:10.887830 | 15.614 | -0.00148
2024-08-19 12:32:11.014592 | 15.626 |  0.00115
