time|displacement|delay
2024-09-04 16:18:23.251306 |  0.084 | -0.02391
2024-09-04 16:18:23.855771 |  0.082 |  0.01295
2024-09-04 16:18:24.116966 |  0.082 | -0.02332
2024-09-04 16:18:24.964975 |  0.082 | -0.01584
2024-09-04 16:18:25.414680 |  0.082 | -0.02944
2024-09-04 16:18:26.276428 |  0.082 | -0.02983
2024-09-04 16:18:26.712144 |  0.082 | -0.03017
2024-09-04 16:18:27.139238 |  0.082 | -0.02636
2024-09-04 16:18:27.364978 |  0.082 | -0.03204
2024-09-04 16:18:28.657566 |  0.082 | -0.02950
2024-09-04 16:18:28.871302 |  0.082 | -0.02780
2024-09-04 16:18:29.084532 |  0.082 | -0.02640
2024-09-04 16:18:29.302240 |  0.082 | -0.02357
2024-09-04 16:18:29.509899 |  0.082 | -0.01618
2024-09-04 16:18:29.725512 |  0.082 | -0.01612
2024-09-04 16:18:29.940508 |  0.078 | -0.01694
2024-09-04 16:18:30.149768 |  0.078 | -0.00601
2024-09-04 16:18:30.368636 |  0.078 | -0.01000
2024-09-04 16:18:30.584860 |  0.078 | -0.01091
2024-09-04 16:18:30.800246 |  0.078 | -0.00611
2024-09-04 16:18:31.009861 |  0.078 | -0.00591
2024-09-04 16:18:31.227092 |  0.078 |  0.00234
2024-09-04 16:18:31.447131 |  0.078 | -0.00257
2024-09-04 16:18:31.665968 |  0.078 | -0.00569
2024-09-04 16:18:31.879200 |  0.078 | -0.00972
2024-09-04 16:18:32.098801 |  0.078 | -0.00864
2024-09-04 16:18:32.305938 |  0.076 | -0.00102
2024-09-04 16:18:32.522560 |  0.078 |  0.00233
2024-09-04 16:18:32.742689 |  0.076 | -0.00755
2024-09-04 16:18:32.957625 |  0.084 |  0.00322
2024-09-04 16:18:33.173038 |  0.110 |  0.00069
2024-09-04 16:18:33.388779 |  0.162 |  0.00035
2024-09-04 16:18:33.606031 |  0.190 | -0.00211
2024-09-04 16:18:33.821786 |  0.216 | -0.00252
2024-09-04 16:18:34.039140 |  0.300 |  0.00040
2024-09-04 16:18:34.258023 |  0.416 | -0.00334
