time|weight|unit|flag
2024-08-19 12:32:01.891569 |       0 | LG | S
2024-08-19 12:32:02.193834 |       0 | LG | S
2024-08-19 12:32:02.493152 |       0 | LG | S
2024-08-19 12:32:02.793667 |       0 | LG | S
2024-08-19 12:32:03.093206 |       0 | LG | S
2024-08-19 12:32:03.391840 |       0 | LG | S
2024-08-19 12:32:03.690750 |       0 | LG | S
2024-08-19 12:32:03.991260 |       0 | LG | S
2024-08-19 12:32:04.293216 |       0 | LG | S
2024-08-19 12:32:04.593603 |       0 | LG | S
2024-08-19 12:32:04.891445 |       0 | LG | S
2024-08-19 12:32:05.191162 |       0 | LG | S
2024-08-19 12:32:05.490778 |       0 | LG | S
2024-08-19 12:32:05.791631 |       0 | LG | S
2024-08-19 12:32:06.091393 |       0 | LG | S
2024-08-19 12:32:06.391682 |       0 | LG | S
2024-08-19 12:32:06.691342 |       0 | LG | S
2024-08-19 12:32:06.990852 |       0 | LG | S
2024-08-19 12:32:07.293902 |       0 | LG | S
2024-08-19 12:32:07.593395 |       0 | LG | S
2024-08-19 12:32:07.892041 |       0 | LG | S
2024-08-19 12:32:08.194050 |       0 | LG | S
2024-08-19 12:32:08.493667 |       0 | LG | S
2024-08-19 12:32:08.794025 |       0 | LG | S
2024-08-19 12:32:09.090031 |       0 | LG | S
2024-08-19 12:32:09.390403 |       0 | LG | S
2024-08-19 12:32:09.694461 |      -1 | LG | S
2024-08-19 12:32:09.991157 |      -1 | LG | S
2024-08-19 12:32:10.295143 |      -2 | LG | S
2024-08-19 12:32:10.594909 |      -3 | LG | M
2024-08-19 12:32:10.894666 |      -4 | LG | M
2024-08-19 12:32:11.195213 |      -5 | LG | M
2024-08-19 12:32:11.495110 |      -6 | LG | M
2024-08-19 12:32:11.794598 |      -8 | LG | M
2024-08-19 12:32:12.096163 |     -10 | LG | M
2024-08-19 12:32:12.396161 |     -11 | LG | M
2024-08-19 12:32:12.695584 |     -13 | LG | M
2024-08-19 12:32:12.996940 |     -16 | LG | M
2024-08-19 12:32:13.296898 |     -18 | LG | M
2024-08-19 12:32:13.596847 |     -20 | LG | M
2024-08-19 12:32:13.896672 |     -21 | LG | M
2024-08-19 12:32:14.196675 |     -23 | LG | M
2024-08-19 12:32:14.496402 |     -25 | LG | M
2024-08-19 12:32:14.796353 |     -26 | LG | M
2024-08-19 12:32:15.096183 |     -27 | LG | M
2024-08-19 12:32:15.395754 |     -29 | LG | M
2024-08-19 12:32:15.697175 |     -29 | LG | M
2024-08-19 12:32:15.996968 |     -30 | LG | M
2024-08-19 12:32:16.296057 |     -30 | LG | S
2024-08-19 12:32:16.596812 |     -31 | LG | S
2024-08-19 12:32:16.893673 |     -31 | LG | S
2024-08-19 12:32:17.197680 |     -32 | LG | S
2024-08-19 12:32:17.496840 |     -32 | LG | S
2024-08-19 12:32:17.793461 |     -32 | LG | S
2024-08-19 12:32:18.097336 |     -33 | LG | S
2024-08-19 12:32:18.396378 |     -34 | LG | S
2024-08-19 12:32:18.696934 |     -34 | LG | S
2024-08-19 12:32:18.993799 |     -34 | LG | S
2024-08-19 12:32:19.297835 |     -35 | LG | S
2024-08-19 12:32:19.597124 |     -35 | LG | S
2024-08-19 12:32:19.897806 |     -36 | LG | M
2024-08-19 12:32:20.196912 |     -37 | LG | M
2024-08-19 12:32:20.497464 |     -37 | LG | M
2024-08-19 12:32:20.796585 |     -38 | LG | M
2024-08-19 12:32:21.097308 |     -38 | LG | S
2024-08-19 12:32:21.397915 |     -38 | LG | S
2024-08-19 12:32:21.693021 |     -38 | LG | S
2024-08-19 12:32:21.996923 |     -39 | LG | S
2024-08-19 12:32:22.297592 |     -40 | LG | M
2024-08-19 12:32:22.597593 |     -41 | LG | M
2024-08-19 12:32:22.897385 |     -41 | LG | M
2024-08-19 12:32:23.196804 |     -41 | LG | S
2024-08-19 12:32:23.494303 |     -41 | LG | S
2024-08-19 12:32:23.797467 |     -42 | LG | S
2024-08-19 12:32:24.092122 |     -42 | LG | M
2024-08-19 12:32:24.397340 |     -50 | LG | M
2024-08-19 12:32:24.697147 |     -50 | LG | S
2024-08-19 12:32:24.993051 |     -50 | LG | M
2024-08-19 12:32:25.297733 |     -41 | LG | M
2024-08-19 12:32:25.596427 |     -41 | LG | M
2024-08-19 12:32:25.896965 |     -36 | LG | M
2024-08-19 12:32:26.196850 |     -42 | LG | M
2024-08-19 12:32:26.497317 |     -45 | LG | M
2024-08-19 12:32:26.796289 |     -36 | LG | M
2024-08-19 12:32:27.097634 |     -29 | LG | M
2024-08-19 12:32:27.396331 |     -32 | LG | M
2024-08-19 12:32:27.697500 |     -37 | LG | M
2024-08-19 12:32:27.996999 |     -41 | LG | M
2024-08-19 12:32:28.297470 |     -41 | LG | M
2024-08-19 12:32:28.597888 |     -40 | LG | M
2024-08-19 12:32:28.896590 |     -41 | LG | M
