time|weight|unit|flag
2024-09-04 16:19:15.416110 |       0 | LG | S
2024-09-04 16:19:15.716289 |       0 | LG | S
2024-09-04 16:19:16.015464 |       0 | LG | S
2024-09-04 16:19:16.318095 |       0 | LG | S
2024-09-04 16:19:16.617841 |       0 | LG | S
2024-09-04 16:19:16.917857 |       0 | LG | S
2024-09-04 16:19:17.216074 |       0 | LG | S
2024-09-04 16:19:17.517939 |       0 | LG | S
2024-09-04 16:19:17.818063 |       0 | LG | S
2024-09-04 16:19:18.118113 |       0 | LG | S
2024-09-04 16:19:18.418275 |       0 | LG | S
2024-09-04 16:19:18.715927 |       0 | LG | S
2024-09-04 16:19:19.017762 |       0 | LG | S
2024-09-04 16:19:19.317798 |       0 | LG | S
2024-09-04 16:19:19.617966 |       0 | LG | S
2024-09-04 16:19:19.917926 |       0 | LG | S
2024-09-04 16:19:20.215582 |       0 | LG | S
2024-09-04 16:19:20.517436 |       0 | LG | S
2024-09-04 16:19:20.817466 |       0 | LG | S
2024-09-04 16:19:21.117611 |       0 | LG | S
2024-09-04 16:19:21.417738 |       0 | LG | S
2024-09-04 16:19:21.715678 |       0 | LG | S
2024-09-04 16:19:22.015153 |       0 | LG | S
2024-09-04 16:19:22.314667 |       0 | LG | S
2024-09-04 16:19:22.615127 |       0 | LG | S
2024-09-04 16:19:22.917182 |       0 | LG | S
2024-09-04 16:19:23.215860 |       0 | LG | S
2024-09-04 16:19:23.514595 |       0 | LG | S
2024-09-04 16:19:23.814996 |       0 | LG | S
2024-09-04 16:19:24.114815 |       0 | LG | S
2024-09-04 16:19:24.416824 |       0 | LG | S
2024-09-04 16:19:24.715310 |       0 | LG | S
2024-09-04 16:19:25.016972 |       0 | LG | S
2024-09-04 16:19:25.316318 |       0 | LG | S
2024-09-04 16:19:25.616733 |       0 | LG | S
2024-09-04 16:19:25.913595 |       0 | LG | M
2024-09-04 16:19:26.216978 |      -1 | LG | M
2024-09-04 16:19:26.517264 |      -2 | LG | M
2024-09-04 16:19:26.816990 |      -4 | LG | M
2024-09-04 16:19:27.117252 |      -5 | LG | M
2024-09-04 16:19:27.417198 |      -7 | LG | M
2024-09-04 16:19:27.716920 |      -8 | LG | M
2024-09-04 16:19:28.017095 |     -10 | LG | M
2024-09-04 16:19:28.318498 |     -12 | LG | M
2024-09-04 16:19:28.618442 |     -13 | LG | M
2024-09-04 16:19:28.917871 |     -15 | LG | M
2024-09-04 16:19:29.217560 |     -17 | LG | M
2024-09-04 16:19:29.517552 |     -18 | LG | M
2024-09-04 16:19:29.817383 |     -19 | LG | M
2024-09-04 16:19:30.117415 |     -20 | LG | M
2024-09-04 16:19:30.416861 |     -21 | LG | M
2024-09-04 16:19:30.718293 |     -23 | LG | M
2024-09-04 16:19:31.017782 |     -24 | LG | M
2024-09-04 16:19:31.317234 |     -26 | LG | M
2024-09-04 16:19:31.617017 |     -27 | LG | M
2024-09-04 16:19:31.916502 |     -28 | LG | M
2024-09-04 16:19:32.218122 |     -30 | LG | M
2024-09-04 16:19:32.517203 |     -31 | LG | M
2024-09-04 16:19:32.817577 |     -33 | LG | M
2024-09-04 16:19:33.115580 |     -42 | LG | M
2024-09-04 16:19:33.415937 |     -46 | LG | M
2024-09-04 16:19:33.716268 |     -48 | LG | M
2024-09-04 16:19:34.016745 |     -49 | LG | M
2024-09-04 16:19:34.315658 |     -52 | LG | M
2024-09-04 16:19:34.615376 |     -53 | LG | M
2024-09-04 16:19:34.917008 |     -55 | LG | M
2024-09-04 16:19:35.214875 |     -55 | LG | M
2024-09-04 16:19:35.516172 |     -58 | LG | M
2024-09-04 16:19:35.815927 |     -60 | LG | M
2024-09-04 16:19:36.115831 |     -58 | LG | M
2024-09-04 16:19:36.415725 |     -56 | LG | M
2024-09-04 16:19:36.715644 |     -59 | LG | M
2024-09-04 16:19:37.015399 |     -58 | LG | M
2024-09-04 16:19:37.315122 |     -59 | LG | M
2024-09-04 16:19:37.614994 |     -61 | LG | M
2024-09-04 16:19:37.914915 |     -63 | LG | M
2024-09-04 16:19:38.214427 |     -63 | LG | M
2024-09-04 16:19:38.515844 |     -64 | LG | M
2024-09-04 16:19:38.815692 |     -64 | LG | M
2024-09-04 16:19:39.115635 |     -63 | LG | M
2024-09-04 16:19:39.415350 |     -63 | LG | M
2024-09-04 16:19:39.715339 |     -62 | LG | M
2024-09-04 16:19:40.015042 |     -60 | LG | M
2024-09-04 16:19:40.314679 |     -58 | LG | M
2024-09-04 16:19:40.614268 |     -51 | LG | M
2024-09-04 16:19:40.915190 |     -50 | LG | M
2024-09-04 16:19:41.214629 |     -48 | LG | M
2024-09-04 16:19:41.515182 |     -47 | LG | M
2024-09-04 16:19:41.814122 |     -47 | LG | M
2024-09-04 16:19:42.114463 |     -47 | LG | M
2024-09-04 16:19:42.415053 |     -44 | LG | M
2024-09-04 16:19:42.714077 |     -43 | LG | M
2024-09-04 16:19:43.014626 |     -42 | LG | M
2024-09-04 16:19:43.315180 |     -40 | LG | M
2024-09-04 16:19:43.614097 |     -37 | LG | M
2024-09-04 16:19:43.913950 |     -36 | LG | M
2024-09-04 16:19:44.213888 |     -36 | LG | M
2024-09-04 16:19:44.513609 |     -35 | LG | M
2024-09-04 16:19:44.813578 |     -34 | LG | M
2024-09-04 16:19:45.114842 |     -33 | LG | M
