time|displacement|delay
2024-09-04 14:48:30.620932 | -0.006 | -0.03316
2024-09-04 14:48:30.812799 | -0.006 | -0.01214
2024-09-04 14:48:31.013713 | -0.006 |  0.01058
2024-09-04 14:48:31.225319 | -0.006 |  0.01612
2024-09-04 14:48:31.442703 | -0.006 |  0.01655
2024-09-04 14:48:31.661088 | -0.006 |  0.01636
2024-09-04 14:48:32.336186 | -0.006 |  0.00468
2024-09-04 14:48:32.560839 | -0.006 | -0.00192
2024-09-04 14:48:32.774773 | -0.006 |  0.00142
2024-09-04 14:48:32.980180 | -0.006 |  0.01920
2024-09-04 14:48:33.200549 | -0.006 |  0.01125
2024-09-04 14:48:33.417555 | -0.006 |  0.01743
2024-09-04 14:48:33.640387 | -0.004 |  0.01707
2024-09-04 14:48:33.856811 | -0.004 |  0.01386
2024-09-04 14:48:34.075189 | -0.004 |  0.01330
2024-09-04 14:48:34.292163 | -0.004 |  0.01371
2024-09-04 14:48:34.514205 | -0.000 |  0.01471
2024-09-04 14:48:34.734553 |  0.038 |  0.01024
2024-09-04 14:48:34.952805 |  0.078 |  0.00972
2024-09-04 14:48:35.169766 |  0.132 |  0.01069
2024-09-04 14:48:35.392544 |  0.148 |  0.00561
2024-09-04 14:48:35.609310 |  0.134 |  0.00889
2024-09-04 14:48:35.828171 |  0.162 |  0.01065
2024-09-04 14:48:36.052203 |  0.200 |  0.00470
2024-09-04 14:48:36.273175 |  0.220 |  0.00141
2024-09-04 14:48:36.497769 |  0.272 | -0.00012
2024-09-04 14:48:36.711549 |  0.402 |  0.00375
2024-09-04 14:48:36.932538 |  0.464 |  0.00059
2024-09-04 14:48:37.152095 |  0.560 | -0.00098
2024-09-04 14:48:37.375135 |  0.622 | -0.00118
2024-09-04 14:48:37.585547 |  0.640 |  0.00636
2024-09-04 14:48:37.804681 |  0.676 |  0.00503
2024-09-04 14:48:38.022924 |  0.712 |  0.00464
2024-09-04 14:48:38.245033 |  0.682 | -0.00449
2024-09-04 14:48:38.459932 |  0.674 |  0.00589
2024-09-04 14:48:38.677788 |  0.696 |  0.00872
2024-09-04 14:48:38.896668 |  0.740 |  0.00789
2024-09-04 14:48:39.121305 |  0.726 | -0.00167
2024-09-04 14:48:39.341031 |  0.754 |  0.00447
2024-09-04 14:48:39.557296 |  0.746 |  0.00355
2024-09-04 14:48:39.780182 |  0.738 | -0.00153
2024-09-04 14:48:39.999168 |  0.884 |  0.00019
2024-09-04 14:48:40.223136 |  1.102 | -0.00075
2024-09-04 14:48:40.438642 |  1.200 |  0.00158
2024-09-04 14:48:40.660549 |  1.238 | -0.00251
2024-09-04 14:48:40.880296 |  1.444 | -0.00435
2024-09-04 14:48:41.103398 |  1.612 | -0.00446
2024-09-04 14:48:41.314422 |  1.722 |  0.00243
2024-09-04 14:48:41.531420 |  1.806 |  0.00340
2024-09-04 14:48:41.749042 |  1.892 |  0.00367
2024-09-04 14:48:41.971778 |  2.096 | -0.00120
2024-09-04 14:48:42.190161 |  2.228 |  0.00333
2024-09-04 14:48:42.411026 |  2.234 |  0.00254
2024-09-04 14:48:42.632275 |  2.356 | -0.00275
2024-09-04 14:48:42.849809 |  2.412 | -0.00237
2024-09-04 14:48:43.066654 |  2.394 | -0.00083
2024-09-04 14:48:43.287153 |  2.550 |  0.00140
2024-09-04 14:48:43.507143 |  2.492 | -0.00538
2024-09-04 14:48:43.723152 |  2.598 |  0.00174
2024-09-04 14:48:43.948867 |  2.522 | -0.00592
2024-09-04 14:48:44.156914 |  2.588 |  0.00924
2024-09-04 14:48:44.376139 |  2.602 |  0.01015
2024-09-04 14:48:44.602514 |  2.586 | -0.00528
2024-09-04 14:48:44.826232 |  2.644 | -0.00094
2024-09-04 14:48:45.038640 |  2.632 |  0.00176
2024-09-04 14:48:45.260763 |  2.632 | -0.00272
2024-09-04 14:48:45.480397 |  2.616 | -0.00633
2024-09-04 14:48:45.698022 |  2.636 | -0.00104
2024-09-04 14:48:45.918142 |  2.618 | -0.00308
2024-09-04 14:48:46.132245 |  2.610 |  0.00300
2024-09-04 14:48:46.354518 |  2.656 |  0.00149
2024-09-04 14:48:46.576016 |  2.586 | -0.00691
2024-09-04 14:48:46.790004 |  2.606 |  0.00689
2024-09-04 14:48:47.014276 |  2.630 |  0.00070
2024-09-04 14:48:47.233884 |  2.618 | -0.00388
2024-09-04 14:48:47.447880 |  2.632 |  0.00514
2024-09-04 14:48:47.676359 |  2.606 | -0.00737
2024-09-04 14:48:47.888116 |  2.610 |  0.00534
2024-09-04 14:48:48.111639 |  2.688 | -0.00176
2024-09-04 14:48:48.331497 |  2.554 | -0.00868
2024-09-04 14:48:48.552586 |  2.598 | -0.00145
2024-09-04 14:48:48.766887 |  2.582 | -0.00066
2024-09-04 14:48:48.983755 |  2.498 | -0.00170
2024-09-04 14:48:49.199783 |  2.428 |  0.00027
2024-09-04 14:48:49.416244 |  2.216 |  0.00185
2024-09-04 14:48:49.637363 |  2.030 |  0.00379
2024-09-04 14:48:49.857518 |  1.836 |  0.00183
2024-09-04 14:48:50.077273 |  1.718 |  0.00026
2024-09-04 14:48:50.297879 |  1.728 |  0.00436
