time|weight|unit|flag
2024-09-04 14:48:30.444472 |       0 | LG | S
2024-09-04 14:48:30.745005 |       0 | LG | S
2024-09-04 14:48:31.043701 |       0 | LG | S
2024-09-04 14:48:31.344305 |       0 | LG | S
2024-09-04 14:48:31.643598 |       0 | LG | S
2024-09-04 14:48:31.944037 |       0 | LG | S
2024-09-04 14:48:32.244432 |       0 | LG | S
2024-09-04 14:48:32.544181 |       0 | LG | S
2024-09-04 14:48:32.845979 |       0 | LG | S
2024-09-04 14:48:33.146019 |       0 | LG | S
2024-09-04 14:48:33.446184 |       0 | LG | S
2024-09-04 14:48:33.744105 |       0 | LG | S
2024-09-04 14:48:34.046089 |       0 | LG | S
2024-09-04 14:48:34.345391 |       0 | LG | S
2024-09-04 14:48:34.645438 |       0 | LG | S
2024-09-04 14:48:34.945591 |       0 | LG | S
2024-09-04 14:48:35.242603 |       0 | LG | S
2024-09-04 14:48:35.541926 |       0 | LG | S
2024-09-04 14:48:35.845646 |      -1 | LG | S
2024-09-04 14:48:36.145521 |      -1 | LG | S
2024-09-04 14:48:36.446250 |      -1 | LG | S
2024-09-04 14:48:36.742265 |      -1 | LG | M
2024-09-04 14:48:37.046080 |      -2 | LG | M
2024-09-04 14:48:37.345621 |      -3 | LG | M
2024-09-04 14:48:37.645789 |     -14 | LG | M
2024-09-04 14:48:37.945862 |     -17 | LG | M
2024-09-04 14:48:38.246486 |     -19 | LG | M
2024-09-04 14:48:38.545158 |     -18 | LG | M
2024-09-04 14:48:38.845368 |     -19 | LG | M
2024-09-04 14:48:39.145794 |     -20 | LG | M
2024-09-04 14:48:39.446352 |     -20 | LG | M
2024-09-04 14:48:39.745390 |     -20 | LG | S
2024-09-04 14:48:40.046163 |     -20 | LG | S
2024-09-04 14:48:40.341080 |     -20 | LG | M
2024-09-04 14:48:40.646215 |     -30 | LG | M
2024-09-04 14:48:40.945771 |     -33 | LG | M
2024-09-04 14:48:41.245212 |     -39 | LG | M
2024-09-04 14:48:41.544693 |     -43 | LG | M
2024-09-04 14:48:41.845449 |     -45 | LG | M
2024-09-04 14:48:42.145734 |     -50 | LG | M
2024-09-04 14:48:42.445180 |     -54 | LG | M
2024-09-04 14:48:42.745007 |     -55 | LG | M
2024-09-04 14:48:43.044978 |     -57 | LG | M
2024-09-04 14:48:43.344723 |     -58 | LG | M
2024-09-04 14:48:43.644277 |     -60 | LG | M
2024-09-04 14:48:43.945547 |     -61 | LG | M
2024-09-04 14:48:44.245447 |     -61 | LG | M
2024-09-04 14:48:44.545200 |     -62 | LG | M
2024-09-04 14:48:44.844993 |     -62 | LG | M
2024-09-04 14:48:45.144760 |     -63 | LG | M
2024-09-04 14:48:45.444349 |     -64 | LG | M
2024-09-04 14:48:45.744049 |     -63 | LG | M
2024-09-04 14:48:46.043764 |     -63 | LG | M
2024-09-04 14:48:46.345208 |     -63 | LG | M
2024-09-04 14:48:46.645030 |     -62 | LG | S
2024-09-04 14:48:46.940934 |     -62 | LG | S
2024-09-04 14:48:47.240140 |     -62 | LG | S
2024-09-04 14:48:47.545082 |     -63 | LG | M
2024-09-04 14:48:47.845151 |     -63 | LG | M
2024-09-04 14:48:48.144863 |     -63 | LG | S
2024-09-04 14:48:48.440851 |     -63 | LG | S
2024-09-04 14:48:48.743951 |     -62 | LG | M
2024-09-04 14:48:49.043725 |     -62 | LG | M
2024-09-04 14:48:49.343526 |     -60 | LG | M
2024-09-04 14:48:49.643458 |     -57 | LG | M
2024-09-04 14:48:49.943455 |     -53 | LG | M
2024-09-04 14:48:50.243587 |     -49 | LG | M
