time|displacement|delay
2024-08-28 15:30:24.800764 |  0.316 |  0.01863
2024-08-28 15:30:24.966371 |  0.316 | -0.00140
2024-08-28 15:30:25.132390 |  0.316 | -0.02161
2024-08-28 15:30:25.287894 |  0.316 | -0.03151
2024-08-28 15:30:25.429890 |  0.316 | -0.02801
2024-08-28 15:30:25.568252 |  0.316 | -0.02078
2024-08-28 15:30:25.707762 |  0.316 | -0.01460
2024-08-28 15:30:25.845778 |  0.316 | -0.00699
2024-08-28 15:30:25.996475 |  0.316 | -0.00702
2024-08-28 15:30:26.140750 |  0.316 | -0.00576
2024-08-28 15:30:26.289990 |  0.316 | -0.00941
2024-08-28 15:30:26.439866 |  0.316 | -0.01365
2024-08-28 15:30:26.587520 |  0.308 | -0.01524
2024-08-28 15:30:26.732617 |  0.312 | -0.01148
2024-08-28 15:30:26.874242 |  0.312 | -0.00767
2024-08-28 15:30:27.017772 |  0.312 | -0.00557
2024-08-28 15:30:27.165013 |  0.314 | -0.00677
2024-08-28 15:30:27.318483 |  0.314 | -0.01359
2024-08-28 15:30:27.461035 |  0.314 | -0.01056
2024-08-28 15:30:27.604526 |  0.314 | -0.00830
2024-08-28 15:30:27.749504 |  0.314 | -0.00784
2024-08-28 15:30:27.895408 |  0.314 | -0.00813
2024-08-28 15:30:28.041251 |  0.314 | -0.00842
2024-08-28 15:30:28.186889 |  0.314 | -0.00847
2024-08-28 15:30:28.332127 |  0.314 | -0.00814
2024-08-28 15:30:28.482223 |  0.360 | -0.00518
2024-08-28 15:30:28.622121 |  0.440 |  0.00048
2024-08-28 15:30:28.768527 |  0.516 | -0.00030
2024-08-28 15:30:28.917882 |  0.570 | -0.00412
2024-08-28 15:30:29.066760 |  0.572 | -0.00643
2024-08-28 15:30:29.213639 |  0.572 | -0.01094
2024-08-28 15:30:29.359137 |  0.572 | -0.01081
2024-08-28 15:30:29.502009 |  0.572 | -0.00806
2024-08-28 15:30:29.642880 |  0.572 | -0.00330
2024-08-28 15:30:29.791873 |  0.572 | -0.00153
2024-08-28 15:30:29.929877 |  0.572 |  0.00986
2024-08-28 15:30:30.077140 |  0.572 |  0.00804
2024-08-28 15:30:30.229510 |  0.572 | -0.00229
2024-08-28 15:30:30.382160 |  0.508 | -0.01032
2024-08-28 15:30:30.529276 |  0.444 | -0.01175
2024-08-28 15:30:30.671899 |  0.398 | -0.00874
2024-08-28 15:30:30.813635 |  0.380 | -0.00485
2024-08-28 15:30:30.961605 |  0.376 | -0.00113
2024-08-28 15:30:31.101510 |  0.376 |  0.00482
2024-08-28 15:30:31.248373 |  0.376 |  0.00326
2024-08-28 15:30:31.398401 |  0.388 |  0.00254
2024-08-28 15:30:31.547759 |  0.446 | -0.00275
2024-08-28 15:30:31.696862 |  0.476 | -0.00623
2024-08-28 15:30:31.843165 |  0.480 | -0.00592
2024-08-28 15:30:31.987398 |  0.482 | -0.00458
2024-08-28 15:30:32.131621 |  0.498 | -0.00280
2024-08-28 15:30:32.281472 |  0.502 | -0.00181
2024-08-28 15:30:32.422141 |  0.522 |  0.00158
2024-08-28 15:30:32.568258 |  0.540 |  0.00106
2024-08-28 15:30:32.716273 |  0.554 |  0.00006
2024-08-28 15:30:32.864049 |  0.582 | -0.00350
2024-08-28 15:30:33.011260 |  0.600 | -0.00518
2024-08-28 15:30:33.156509 |  0.616 | -0.00343
2024-08-28 15:30:33.300804 |  0.650 | -0.00353
2024-08-28 15:30:33.450965 |  0.722 | -0.00309
2024-08-28 15:30:33.590739 |  0.742 |  0.00265
2024-08-28 15:30:33.735992 |  0.746 |  0.00391
2024-08-28 15:30:33.884142 |  0.764 |  0.00040
2024-08-28 15:30:34.032999 |  0.768 | -0.00146
2024-08-28 15:30:34.180122 |  0.770 | -0.00350
2024-08-28 15:30:34.326261 |  0.772 | -0.00414
2024-08-28 15:30:34.467375 |  0.774 |  0.00020
2024-08-28 15:30:34.611893 |  0.784 |  0.00185
2024-08-28 15:30:34.763728 |  0.794 |  0.00045
2024-08-28 15:30:34.906393 |  0.800 |  0.00332
2024-08-28 15:30:35.050640 |  0.802 |  0.00415
2024-08-28 15:30:35.199136 |  0.810 |  0.00164
2024-08-28 15:30:35.348264 |  0.816 | -0.00189
2024-08-28 15:30:35.496003 |  0.832 | -0.00415
