time|displacement|delay
2024-09-13 15:28:11.169508 |  0.154 |  0.01304
2024-09-13 15:28:11.296962 |  0.154 |  0.01842
2024-09-13 15:28:11.564675 |  0.154 |  0.00648
2024-09-13 15:28:11.683160 |  0.154 |  0.01757
2024-09-13 15:28:11.812282 |  0.154 |  0.01801
2024-09-13 15:28:11.947665 |  0.154 |  0.01531
2024-09-13 15:28:12.088846 |  0.154 |  0.00572
2024-09-13 15:28:12.218771 |  0.154 |  0.00838
2024-09-13 15:28:12.348893 |  0.154 |  0.00465
2024-09-13 15:28:12.480646 |  0.154 |  0.00245
2024-09-13 15:28:12.610642 |  0.154 |  0.00199
2024-09-13 15:28:12.739404 |  0.154 |  0.00596
2024-09-13 15:28:12.868151 |  0.154 |  0.00375
2024-09-13 15:28:12.998890 |  0.154 |  0.00241
2024-09-13 15:28:13.133702 |  0.154 |  0.00221
2024-09-13 15:28:13.257889 |  0.154 |  0.00760
2024-09-13 15:28:13.387002 |  0.154 |  0.00804
2024-09-13 15:28:13.519136 |  0.154 |  0.00546
2024-09-13 15:28:13.648383 |  0.154 |  0.00892
2024-09-13 15:28:13.779741 |  0.154 |  0.00395
2024-09-13 15:28:13.910512 |  0.154 |  0.00275
2024-09-13 15:28:14.041399 |  0.154 |  0.00455
2024-09-13 15:28:14.171728 |  0.154 |  0.00389
2024-09-13 15:28:14.307344 |  0.154 |  0.00318
2024-09-13 15:28:14.433340 |  0.154 |  0.00317
2024-09-13 15:28:14.564242 |  0.154 |  0.00185
2024-09-13 15:28:14.695119 |  0.154 |  0.00052
2024-09-13 15:28:14.823004 |  0.154 |  0.00221
2024-09-13 15:28:14.952498 |  0.154 |  0.00241
2024-09-13 15:28:15.083001 |  0.154 |  0.00133
2024-09-13 15:28:15.213612 |  0.158 |  0.00316
2024-09-13 15:28:15.348842 |  0.166 |  0.00296
2024-09-13 15:28:15.474862 |  0.182 |  0.00525
2024-09-13 15:28:15.605967 |  0.206 |  0.00367
2024-09-13 15:28:15.738471 |  0.244 |  0.00072
2024-09-13 15:28:15.870232 |  0.236 | -0.00315
2024-09-13 15:28:16.000341 |  0.236 | -0.00411
2024-09-13 15:28:16.125464 |  0.248 |  0.00363
2024-09-13 15:28:16.253140 |  0.252 |  0.00511
2024-09-13 15:28:16.384732 |  0.240 |  0.00058
2024-09-13 15:28:16.522320 |  0.236 | -0.00277
2024-09-13 15:28:16.647477 |  0.244 |  0.00493
2024-09-13 15:28:16.775714 |  0.254 |  0.00623
2024-09-13 15:28:16.905841 |  0.272 |  0.00442
2024-09-13 15:28:17.039220 |  0.290 |  0.00073
2024-09-13 15:28:17.171697 |  0.352 | -0.00236
2024-09-13 15:28:17.302335 |  0.412 | -0.00345
2024-09-13 15:28:17.431342 |  0.486 | -0.00289
2024-09-13 15:28:17.564660 |  0.558 | -0.00158
2024-09-13 15:28:17.685452 |  0.630 |  0.00720
2024-09-13 15:28:17.814584 |  0.684 |  0.00763
2024-09-13 15:28:17.948584 |  0.716 |  0.00317
2024-09-13 15:28:18.082824 |  0.730 | -0.00030
2024-09-13 15:28:18.212335 |  0.754 | -0.00150
2024-09-13 15:28:18.342553 |  0.752 | -0.00423
2024-09-13 15:28:18.472198 |  0.746 | -0.00393
2024-09-13 15:28:18.600176 |  0.758 |  0.00054
2024-09-13 15:28:18.733395 |  0.758 | -0.00132
