time|weight|unit|flag
2024-09-13 16:31:42.255645 |       1 | LG | S
2024-09-13 16:31:42.555011 |       1 | LG | S
2024-09-13 16:31:42.855456 |       1 | LG | S
2024-09-13 16:31:43.155203 |       1 | LG | S
2024-09-13 16:31:43.454659 |       1 | LG | S
2024-09-13 16:31:43.755221 |       1 | LG | S
2024-09-13 16:31:44.054710 |       1 | LG | S
2024-09-13 16:31:44.355026 |       1 | LG | S
2024-09-13 16:31:44.654858 |       1 | LG | S
2024-09-13 16:31:44.955325 |       1 | LG | S
2024-09-13 16:31:45.255091 |       1 | LG | S
2024-09-13 16:31:45.554615 |       1 | LG | S
2024-09-13 16:31:45.855103 |       1 | LG | S
2024-09-13 16:31:46.154879 |       1 | LG | S
2024-09-13 16:31:46.453484 |       1 | LG | M
2024-09-13 16:31:46.757878 |       0 | LG | M
2024-09-13 16:31:47.057687 |      -8 | LG | M
2024-09-13 16:31:47.357191 |      -7 | LG | M
2024-09-13 16:31:47.657719 |      -7 | LG | M
2024-09-13 16:31:47.957304 |      -7 | LG | S
2024-09-13 16:31:48.253555 |      -7 | LG | M
2024-09-13 16:31:48.557662 |     -32 | LG | M
2024-09-13 16:31:48.858931 |     -43 | LG | M
2024-09-13 16:31:49.157592 |     -48 | LG | M
2024-09-13 16:31:49.458187 |     -51 | LG | M
2024-09-13 16:31:49.758037 |     -53 | LG | M
2024-09-13 16:31:50.057984 |     -56 | LG | M
2024-09-13 16:31:50.357490 |     -57 | LG | M
2024-09-13 16:31:50.657159 |     -58 | LG | M
2024-09-13 16:31:50.958402 |     -60 | LG | M
2024-09-13 16:31:51.258052 |     -62 | LG | M
2024-09-13 16:31:51.557969 |     -63 | LG | M
2024-09-13 16:31:51.857916 |     -67 | LG | M
2024-09-13 16:31:52.157829 |     -71 | LG | M
2024-09-13 16:31:52.458551 |     -75 | LG | M
2024-09-13 16:31:52.757212 |     -80 | LG | M
2024-09-13 16:31:53.057831 |     -82 | LG | M
2024-09-13 16:31:53.358174 |     -84 | LG | M
2024-09-13 16:31:53.657164 |     -85 | LG | M
2024-09-13 16:31:53.957872 |     -87 | LG | M
2024-09-13 16:31:54.256632 |     -90 | LG | M
2024-09-13 16:31:54.558070 |     -92 | LG | M
2024-09-13 16:31:54.857464 |     -94 | LG | M
2024-09-13 16:31:55.157204 |     -95 | LG | M
2024-09-13 16:31:55.456797 |     -97 | LG | M
2024-09-13 16:31:55.757089 |    -100 | LG | M
2024-09-13 16:31:56.058601 |    -106 | LG | M
2024-09-13 16:31:56.357722 |    -111 | LG | M
2024-09-13 16:31:56.657675 |    -117 | LG | M
2024-09-13 16:31:56.957397 |    -123 | LG | M
2024-09-13 16:31:57.256217 |    -129 | LG | M
2024-09-13 16:31:57.557178 |    -135 | LG | M
2024-09-13 16:31:57.856756 |    -141 | LG | M
2024-09-13 16:31:58.156614 |    -146 | LG | M
2024-09-13 16:31:58.456374 |    -146 | LG | M
2024-09-13 16:31:58.758293 |    -144 | LG | M
