time|weight|unit|flag
2024-08-28 14:39:46.019306 |       0 | LG | S
2024-08-28 14:39:46.319736 |       0 | LG | S
2024-08-28 14:39:46.619387 |       0 | LG | S
2024-08-28 14:39:46.918890 |       0 | LG | S
2024-08-28 14:39:47.219450 |       0 | LG | S
2024-08-28 14:39:47.519240 |       0 | LG | S
2024-08-28 14:39:47.820298 |       0 | LG | S
2024-08-28 14:39:48.119856 |       0 | LG | S
2024-08-28 14:39:48.419412 |       0 | LG | S
2024-08-28 14:39:48.719908 |       0 | LG | S
2024-08-28 14:39:49.020506 |       0 | LG | S
2024-08-28 14:39:49.321026 |       0 | LG | S
2024-08-28 14:39:49.620764 |       0 | LG | S
2024-08-28 14:39:49.920491 |       0 | LG | S
2024-08-28 14:39:50.222431 |       0 | LG | S
2024-08-28 14:39:50.522770 |       0 | LG | S
2024-08-28 14:39:50.821491 |       0 | LG | S
2024-08-28 14:39:51.121060 |       0 | LG | S
2024-08-28 14:39:51.420754 |       0 | LG | S
2024-08-28 14:39:51.721158 |       0 | LG | S
2024-08-28 14:39:52.020721 |       0 | LG | S
2024-08-28 14:39:52.321937 |       0 | LG | S
2024-08-28 14:39:52.624729 |      -3 | LG | M
2024-08-28 14:39:52.924251 |      -9 | LG | M
2024-08-28 14:39:53.224405 |     -65 | LG | M
2024-08-28 14:39:53.525623 |     -95 | LG | M
2024-08-28 14:39:53.826170 |    -105 | LG | M
2024-08-28 14:39:54.125210 |    -110 | LG | M
2024-08-28 14:39:54.427742 |    -112 | LG | M
2024-08-28 14:39:54.727352 |    -118 | LG | M
2024-08-28 14:39:55.027074 |    -126 | LG | M
2024-08-28 14:39:55.325955 |    -135 | LG | M
2024-08-28 14:39:55.625522 |    -144 | LG | M
2024-08-28 14:39:55.927484 |    -152 | LG | M
2024-08-28 14:39:56.227672 |    -152 | LG | M
2024-08-28 14:39:56.527875 |    -152 | LG | S
2024-08-28 14:39:56.828520 |    -154 | LG | M
2024-08-28 14:39:57.126240 |    -162 | LG | M
2024-08-28 14:39:57.427196 |    -179 | LG | M
2024-08-28 14:39:57.728255 |    -201 | LG | M
2024-08-28 14:39:58.026871 |    -221 | LG | M
2024-08-28 14:39:58.326446 |    -242 | LG | M
2024-08-28 14:39:58.627679 |    -264 | LG | M
2024-08-28 14:39:58.927429 |    -281 | LG | M
2024-08-28 14:39:59.227001 |    -303 | LG | M
2024-08-28 14:39:59.527649 |    -317 | LG | M
2024-08-28 14:39:59.828826 |    -329 | LG | M
2024-08-28 14:40:00.127734 |    -338 | LG | M
2024-08-28 14:40:00.427137 |    -354 | LG | M
2024-08-28 14:40:00.729586 |    -371 | LG | M
2024-08-28 14:40:01.029700 |    -390 | LG | M
2024-08-28 14:40:01.328424 |    -399 | LG | M
2024-08-28 14:40:01.629141 |    -407 | LG | M
2024-08-28 14:40:01.928254 |    -414 | LG | M
2024-08-28 14:40:02.230031 |    -419 | LG | M
2024-08-28 14:40:02.529838 |    -423 | LG | M
2024-08-28 14:40:02.829584 |    -425 | LG | M
2024-08-28 14:40:03.129198 |    -429 | LG | M
2024-08-28 14:40:03.428676 |    -443 | LG | M
2024-08-28 14:40:03.730541 |    -451 | LG | M
2024-08-28 14:40:04.030235 |    -468 | LG | M
2024-08-28 14:40:04.330527 |    -482 | LG | M
2024-08-28 14:40:04.629259 |    -486 | LG | M
2024-08-28 14:40:04.930710 |    -493 | LG | M
2024-08-28 14:40:05.230189 |    -503 | LG | M
2024-08-28 14:40:05.530086 |    -511 | LG | M
2024-08-28 14:40:05.830853 |    -513 | LG | M
2024-08-28 14:40:06.131409 |    -526 | LG | M
2024-08-28 14:40:06.431631 |    -532 | LG | M
2024-08-28 14:40:06.729619 |    -545 | LG | M
2024-08-28 14:40:07.030294 |    -555 | LG | M
2024-08-28 14:40:07.331641 |    -557 | LG | M
2024-08-28 14:40:07.630640 |    -566 | LG | M
2024-08-28 14:40:07.930778 |    -569 | LG | M
2024-08-28 14:40:08.230891 |    -571 | LG | M
2024-08-28 14:40:08.531410 |    -578 | LG | M
2024-08-28 14:40:08.832234 |    -585 | LG | M
2024-08-28 14:40:09.132794 |    -588 | LG | M
2024-08-28 14:40:09.431283 |    -596 | LG | M
2024-08-28 14:40:09.732152 |    -598 | LG | M
2024-08-28 14:40:10.033113 |    -604 | LG | M
2024-08-28 14:40:10.331568 |    -615 | LG | M
2024-08-28 14:40:10.633041 |    -616 | LG | M
2024-08-28 14:40:10.932024 |    -616 | LG | S
2024-08-28 14:40:11.233670 |    -618 | LG | M
2024-08-28 14:40:11.532337 |    -627 | LG | M
2024-08-28 14:40:11.833693 |    -640 | LG | M
2024-08-28 14:40:12.132395 |    -641 | LG | M
2024-08-28 14:40:12.433595 |    -648 | LG | M
2024-08-28 14:40:12.732255 |    -651 | LG | M
2024-08-28 14:40:13.034097 |    -661 | LG | M
2024-08-28 14:40:13.333568 |    -664 | LG | M
2024-08-28 14:40:13.633011 |    -678 | LG | M
2024-08-28 14:40:13.933256 |    -682 | LG | M
2024-08-28 14:40:14.232732 |    -682 | LG | M
2024-08-28 14:40:14.534762 |    -683 | LG | M
2024-08-28 14:40:14.834289 |    -683 | LG | M
2024-08-28 14:40:15.133731 |    -686 | LG | M
2024-08-28 14:40:15.433277 |    -695 | LG | M
2024-08-28 14:40:15.735562 |    -696 | LG | M
2024-08-28 14:40:16.035414 |    -703 | LG | M
2024-08-28 14:40:16.333854 |    -711 | LG | M
2024-08-28 14:40:16.635186 |    -710 | LG | M
2024-08-28 14:40:16.934363 |    -711 | LG | M
2024-08-28 14:40:17.235712 |    -719 | LG | M
2024-08-28 14:40:17.534451 |    -721 | LG | M
2024-08-28 14:40:17.834737 |    -727 | LG | M
2024-08-28 14:40:18.134897 |    -728 | LG | M
